# Virtual Drums debug log (per finger per frame)
# measured_fps=15.13
# smoothing_frames=2  velocity_delta_frames=1
# STRIKE_SPEED_THRESHOLD(px/s)=130.0  DECEL_SPEED_THRESHOLD(px/s)=60.0
# CONTACT_BAND_PX=25.0  arm_clearance_px=13.9
# strike_axis=y  approach_sign=1
# contact_zeros: right_thumb=391.0, right_index=407.0, right_middle=411.0, right_ring=412.0, right_pinky=409.0, left_thumb=414.0, left_index=407.0, left_middle=404.0, left_ring=414.0, left_pinky=418.0
# events: warmup/vel_warmup/dt_zero/approach/medium/FIRE/impact_noarm/impact_noreach/slow_stop
ts_ms,finger,hand,raw_y,smoothed_y,velocity_pxps,depth,armed,was_fast,deepest_y,contact_zero_y,arm_line_y,event,fired,strike_speed
14672,right_index,Right,409.00,407.00,12.66,407.00,0,0,,407.00,393.07,slow_stop,0,
14672,right_middle,Right,414.00,411.00,31.65,411.00,0,0,,411.00,397.07,slow_stop,0,
14672,right_ring,Right,415.00,415.00,-6.33,415.00,0,0,,412.00,398.07,slow_stop,0,
14672,right_pinky,Right,410.00,410.00,-6.33,410.00,0,0,,409.00,395.07,slow_stop,0,
14672,left_thumb,Left,413.00,414.50,-25.32,414.50,0,0,,414.00,400.07,slow_stop,0,
14672,left_index,Left,410.00,408.50,12.66,408.50,0,0,,407.00,393.07,slow_stop,0,
14672,left_middle,Left,409.00,406.00,31.65,406.00,0,0,,404.00,390.07,slow_stop,0,
14672,left_ring,Left,415.00,415.50,-12.66,415.50,0,0,,414.00,400.07,slow_stop,0,
14672,left_pinky,Left,422.00,420.50,18.99,420.50,0,0,,418.00,404.07,slow_stop,0,
14733,right_thumb,Right,394.00,394.50,16.39,394.50,0,0,,391.00,377.07,slow_stop,0,
14733,right_index,Right,407.00,408.00,16.39,408.00,0,0,,407.00,393.07,slow_stop,0,
14733,right_middle,Right,411.00,412.50,24.59,412.50,0,0,,411.00,397.07,slow_stop,0,
14733,right_ring,Right,418.00,416.50,24.59,416.50,0,0,,412.00,398.07,slow_stop,0,
14733,right_pinky,Right,411.00,410.50,8.20,410.50,0,0,,409.00,395.07,slow_stop,0,
14733,left_thumb,Left,417.00,415.00,8.20,415.00,0,0,,414.00,400.07,slow_stop,0,
14733,left_index,Left,409.00,409.50,16.39,409.50,0,0,,407.00,393.07,slow_stop,0,
14733,left_middle,Left,404.00,406.50,8.20,406.50,0,0,,404.00,390.07,slow_stop,0,
14733,left_ring,Left,416.00,415.50,0.00,415.50,0,0,,414.00,400.07,slow_stop,0,
14733,left_pinky,Left,419.00,420.50,0.00,420.50,0,0,,418.00,404.07,slow_stop,0,
14797,right_thumb,Right,393.00,393.50,-15.62,393.50,0,0,,391.00,377.07,slow_stop,0,
14797,right_index,Right,407.00,407.00,-15.62,407.00,0,0,,407.00,393.07,slow_stop,0,
14797,right_middle,Right,412.00,411.50,-15.62,411.50,0,0,,411.00,397.07,slow_stop,0,
14797,right_ring,Right,416.00,417.00,7.81,417.00,0,0,,412.00,398.07,slow_stop,0,
14797,right_pinky,Right,411.00,411.00,7.81,411.00,0,0,,409.00,395.07,slow_stop,0,
14797,left_thumb,Left,417.00,417.00,31.25,417.00,0,0,,414.00,400.07,slow_stop,0,
14797,left_index,Left,407.00,408.00,-23.44,408.00,0,0,,407.00,393.07,slow_stop,0,
14797,left_middle,Left,407.00,405.50,-15.62,405.50,0,0,,404.00,390.07,slow_stop,0,
14797,left_ring,Left,417.00,416.50,15.62,416.50,0,0,,414.00,400.07,slow_stop,0,
14797,left_pinky,Left,418.00,418.50,-31.25,418.50,0,0,,418.00,404.07,slow_stop,0,
14858,right_thumb,Right,401.00,397.00,57.38,397.00,0,0,,391.00,377.07,slow_stop,0,
14858,right_index,Right,403.00,405.00,-32.79,405.00,0,0,,407.00,393.07,slow_stop,0,
14858,right_middle,Right,412.00,412.00,8.20,412.00,0,0,,411.00,397.07,slow_stop,0,
14858,right_ring,Right,417.00,416.50,-8.20,416.50,0,0,,412.00,398.07,slow_stop,0,
14858,right_pinky,Right,410.00,410.50,-8.20,410.50,0,0,,409.00,395.07,slow_stop,0,
14858,left_thumb,Left,414.00,415.50,-24.59,415.50,0,0,,414.00,400.07,slow_stop,0,
14858,left_index,Left,407.00,407.00,-16.39,407.00,0,0,,407.00,393.07,slow_stop,0,
14858,left_middle,Left,405.00,406.00,8.20,406.00,0,0,,404.00,390.07,slow_stop,0,
14858,left_ring,Left,418.00,417.50,16.39,417.50,0,0,,414.00,400.07,slow_stop,0,
14858,left_pinky,Left,418.00,418.00,-8.20,418.00,0,0,,418.00,404.07,slow_stop,0,
14922,right_thumb,Right,394.00,397.50,7.81,397.50,0,0,,391.00,377.07,slow_stop,0,
14922,right_index,Right,405.00,404.00,-15.62,404.00,0,0,,407.00,393.07,slow_stop,0,
14922,right_middle,Right,411.00,411.50,-7.81,411.50,0,0,,411.00,397.07,slow_stop,0,
14922,right_ring,Right,417.00,417.00,7.81,417.00,0,0,,412.00,398.07,slow_stop,0,
14922,right_pinky,Right,410.00,410.00,-7.81,410.00,0,0,,409.00,395.07,slow_stop,0,
14922,left_thumb,Left,415.00,414.50,-15.62,414.50,0,0,,414.00,400.07,slow_stop,0,
14922,left_index,Left,407.00,407.00,0.00,407.00,0,0,,407.00,393.07,slow_stop,0,
14922,left_middle,Left,406.00,405.50,-7.81,405.50,0,0,,404.00,390.07,slow_stop,0,
14922,left_ring,Left,415.00,416.50,-15.62,416.50,0,0,,414.00,400.07,slow_stop,0,
14922,left_pinky,Left,418.00,418.00,0.00,418.00,0,0,,418.00,404.07,slow_stop,0,
15000,right_thumb,Right,391.00,392.50,-64.10,392.50,0,0,,391.00,377.07,slow_stop,0,
15000,right_index,Right,405.00,405.00,12.82,405.00,0,0,,407.00,393.07,slow_stop,0,
15000,right_middle,Right,407.00,409.00,-32.05,409.00,0,0,,411.00,397.07,slow_stop,0,
15000,right_ring,Right,417.00,417.00,0.00,417.00,0,0,,412.00,398.07,slow_stop,0,
15000,right_pinky,Right,411.00,410.50,6.41,410.50,0,0,,409.00,395.07,slow_stop,0,
15000,left_thumb,Left,413.00,414.00,-6.41,414.00,0,0,,414.00,400.07,slow_stop,0,
15000,left_index,Left,406.00,406.50,-6.41,406.50,0,0,,407.00,393.07,slow_stop,0,
15000,left_middle,Left,405.00,405.50,0.00,405.50,0,0,,404.00,390.07,slow_stop,0,
15000,left_ring,Left,414.00,414.50,-25.64,414.50,0,0,,414.00,400.07,slow_stop,0,
15000,left_pinky,Left,413.00,415.50,-32.05,415.50,0,0,,418.00,404.07,slow_stop,0,
15062,right_thumb,Right,391.00,391.00,-24.19,391.00,0,0,,391.00,377.07,slow_stop,0,
15062,right_index,Right,409.00,407.00,32.26,407.00,0,0,,407.00,393.07,slow_stop,0,
15062,right_middle,Right,412.00,409.50,8.06,409.50,0,0,,411.00,397.07,slow_stop,0,
15062,right_ring,Right,416.00,416.50,-8.06,416.50,0,0,,412.00,398.07,slow_stop,0,
15062,right_pinky,Right,411.00,411.00,8.06,411.00,0,0,,409.00,395.07,slow_stop,0,
15062,left_thumb,Left,421.00,417.00,48.39,417.00,0,0,,414.00,400.07,slow_stop,0,
15062,left_index,Left,408.00,407.00,8.06,407.00,0,0,,407.00,393.07,slow_stop,0,
15062,left_middle,Left,401.00,403.00,-40.32,403.00,0,0,,404.00,390.07,slow_stop,0,
15062,left_ring,Left,415.00,414.50,0.00,414.50,0,0,,414.00,400.07,slow_stop,0,
15062,left_pinky,Left,417.00,415.00,-8.06,415.00,0,0,,418.00,404.07,slow_stop,0,
15140,right_thumb,Right,396.00,393.50,32.05,393.50,0,0,,391.00,377.07,slow_stop,0,
15140,right_index,Right,405.00,407.00,0.00,407.00,0,0,,407.00,393.07,slow_stop,0,
15140,right_middle,Right,408.00,410.00,6.41,410.00,0,0,,411.00,397.07,slow_stop,0,
15140,right_ring,Right,416.00,416.00,-6.41,416.00,0,0,,412.00,398.07,slow_stop,0,
15140,right_pinky,Right,412.00,411.50,6.41,411.50,0,0,,409.00,395.07,slow_stop,0,
15140,left_thumb,Left,412.00,416.50,-6.41,416.50,0,0,,414.00,400.07,slow_stop,0,
15140,left_index,Left,407.00,407.50,6.41,407.50,0,0,,407.00,393.07,slow_stop,0,
15140,left_middle,Left,404.00,402.50,-6.41,402.50,0,0,,404.00,390.07,slow_stop,0,
15140,left_ring,Left,412.00,413.50,-12.82,413.50,0,0,,414.00,400.07,slow_stop,0,
15140,left_pinky,Left,416.00,416.50,19.23,416.50,0,0,,418.00,404.07,slow_stop,0,
15202,right_thumb,Right,394.00,395.00,24.19,395.00,0,0,,391.00,377.07,slow_stop,0,
15202,right_index,Right,409.00,407.00,0.00,407.00,0,0,,407.00,393.07,slow_stop,0,
15202,right_middle,Right,408.00,408.00,-32.26,408.00,0,0,,411.00,397.07,slow_stop,0,
15202,right_ring,Right,398.00,407.00,-145.16,407.00,1,0,,412.00,398.07,slow_stop,0,
15202,right_pinky,Right,407.00,409.50,-32.26,409.50,0,0,,409.00,395.07,slow_stop,0,
15202,left_thumb,Left,417.00,414.50,-32.26,414.50,0,0,,414.00,400.07,slow_stop,0,
15202,left_index,Left,406.00,406.50,-16.13,406.50,0,0,,407.00,393.07,slow_stop,0,
15202,left_middle,Left,409.00,406.50,64.52,406.50,0,0,406.50,404.00,390.07,medium,0,0.00
15202,left_ring,Left,415.00,413.50,0.00,413.50,0,0,,414.00,400.07,slow_stop,0,
15202,left_pinky,Left,418.00,417.00,8.06,417.00,0,0,,418.00,404.07,slow_stop,0,
15265,right_thumb,Right,405.00,399.50,71.43,399.50,0,0,399.50,391.00,377.07,medium,0,0.00
15265,right_index,Right,404.00,406.50,-7.94,406.50,0,0,,407.00,393.07,slow_stop,0,
15265,right_middle,Right,403.00,405.50,-39.68,405.50,0,0,,411.00,397.07,slow_stop,0,
15265,right_ring,Right,395.00,396.50,-166.67,396.50,1,0,,412.00,398.07,slow_stop,0,
15265,right_pinky,Right,407.00,407.00,-39.68,407.00,0,0,,409.00,395.07,slow_stop,0,
15265,left_thumb,Left,420.00,418.50,63.49,418.50,0,0,418.50,414.00,400.07,medium,0,0.00
15265,left_index,Left,405.00,405.50,-15.87,405.50,0,0,,407.00,393.07,slow_stop,0,
15265,left_middle,Left,400.00,404.50,-31.75,404.50,0,0,,404.00,390.07,slow_stop,0,
15265,left_ring,Left,412.00,413.50,0.00,413.50,0,0,,414.00,400.07,slow_stop,0,
15265,left_pinky,Left,418.00,418.00,15.87,418.00,0,0,,418.00,404.07,slow_stop,0,
15327,right_thumb,Right,396.00,400.50,16.13,400.50,0,0,,391.00,377.07,slow_stop,0,
15327,right_index,Right,408.00,406.00,-8.06,406.00,0,0,,407.00,393.07,slow_stop,0,
15327,right_middle,Right,405.00,404.00,-24.19,404.00,0,0,,411.00,397.07,slow_stop,0,
